242	0	0.400000
242	1	0.400000
243	0	0.400000
243	1	0.400000
244	0	0.400000
244	1	0.400000
245	0	0.400000
245	1	0.400000
246	0	0.400000
246	1	0.400000
247	0	0.400000
247	1	0.400000
248	0	0.400000
248	1	0.400000
249	0	0.400000
249	1	0.400000
250	0	0.400000
250	1	0.400000
251	0	0.400000
251	1	0.400000
252	0	0.400000
252	1	0.400000
253	0	0.400000
253	1	0.400000
254	0	0.400000
254	1	0.400000
255	0	0.400000
255	1	0.400000
256	0	0.400000
256	1	0.400000
257	0	0.400000
257	1	0.400000
258	0	0.400000
258	1	0.400000
259	0	0.400000
259	1	0.400000
260	0	0.400000
260	1	0.400000
261	0	0.400000
261	1	0.400000
262	0	0.400000
262	1	0.400000
263	0	0.400000
263	1	0.400000
264	0	0.400000
264	1	0.400000
265	0	0.400000
265	1	0.400000
266	0	0.400000
266	1	0.400000
267	0	0.400000
267	1	0.400000
268	0	0.400000
268	1	0.400000
269	0	0.400000
269	1	0.400000
270	0	0.400000
270	1	0.400000
271	0	0.400000
271	1	0.400000
272	0	0.400000
272	1	0.400000
273	0	0.400000
273	1	0.400000
274	0	0.400000
274	1	0.400000
275	0	0.400000
275	1	0.400000
276	0	0.400000
276	1	0.400000
277	0	0.400000
277	1	0.400000
278	0	0.400000
278	1	0.400000
279	0	0.400000
279	1	0.400000
280	0	0.400000
280	1	0.400000
281	0	0.400000
281	1	0.400000
282	0	0.400000
282	1	0.400000
283	0	0.400000
283	1	0.400000
284	0	0.400000
284	1	0.400000
285	0	0.400000
285	1	0.400000
286	0	0.400000
286	1	0.400000
287	0	0.400000
287	1	0.400000
288	0	0.400000
288	1	0.400000
289	0	0.400000
289	1	0.400000
290	0	0.400000
290	1	0.400000
291	0	0.400000
291	1	0.400000
292	0	0.400000
292	1	0.400000
293	0	0.400000
293	1	0.400000
294	0	0.400000
294	1	0.400000
295	0	0.400000
295	1	0.400000
296	0	0.400000
296	1	0.400000
297	0	0.400000
297	1	0.400000
298	0	0.400000
298	1	0.400000
299	0	0.400000
299	1	0.400000
300	0	0.400000
300	1	0.400000
301	0	0.400000
301	1	0.400000
302	0	0.400000
302	1	0.400000
303	0	0.400000
303	1	0.400000
304	0	0.400000
304	1	0.400000
305	0	0.400000
305	1	0.400000
306	0	0.400000
306	1	0.400000
307	0	0.400000
307	1	0.400000
308	0	0.400000
308	1	0.400000
309	0	0.400000
309	1	0.400000
310	0	0.400000
310	1	0.400000
311	0	0.400000
311	1	0.400000
312	0	0.400000
312	1	0.400000
313	0	0.400000
313	1	0.400000
314	0	0.400000
314	1	0.400000
315	0	0.400000
315	1	0.400000
316	0	0.400000
316	1	0.400000
317	0	0.400000
317	1	0.400000
318	0	0.400000
318	1	0.400000
319	0	0.400000
319	1	0.400000
320	0	0.400000
320	1	0.400000
321	0	0.400000
321	1	0.400000
322	0	0.400000
322	1	0.400000
323	0	0.400000
323	1	0.400000
324	0	0.400000
324	1	0.400000
325	0	0.400000
325	1	0.400000
326	0	0.400000
326	1	0.400000
327	0	0.400000
327	1	0.400000
328	0	0.400000
328	1	0.400000
329	0	0.400000
329	1	0.400000
330	0	0.400000
330	1	0.400000
331	0	0.400000
331	1	0.400000
332	0	0.400000
332	1	0.400000
333	0	0.400000
333	1	0.400000
334	0	0.400000
334	1	0.400000
335	0	0.400000
335	1	0.400000
336	0	0.400000
336	1	0.400000
337	0	0.400000
337	1	0.400000
338	0	0.400000
338	1	0.400000
339	0	0.400000
339	1	0.400000
340	0	0.400000
340	1	0.400000
341	0	0.400000
341	1	0.400000
342	0	0.400000
342	1	0.400000
343	0	0.400000
343	1	0.400000
344	0	0.400000
344	1	0.400000
345	0	0.400000
345	1	0.400000
346	0	0.400000
346	1	0.400000
347	0	0.400000
347	1	0.400000
348	0	0.400000
348	1	0.400000
349	0	0.400000
349	1	0.400000
350	0	0.400000
350	1	0.400000
351	0	0.400000
351	1	0.400000
352	0	0.400000
352	1	0.400000
353	0	0.400000
353	1	0.400000
354	0	0.400000
354	1	0.400000
355	0	0.400000
355	1	0.400000
356	0	0.400000
356	1	0.400000
357	0	0.400000
357	1	0.400000
358	0	0.400000
358	1	0.400000
359	0	0.400000
359	1	0.400000
360	0	0.400000
360	1	0.400000
361	0	0.400000
361	1	0.400000
362	0	0.400000
362	1	0.400000
